Goran Gute
Olaf Ullrich
Dieter Stahr
Thoralf Kobelt
Ottmar Hein
Reinald Mosemann
Franz josef Barth
Hans-martin Kambs
Kamil Kramer
Andres Stadelmann
Detlef Reinhardt
André Heinz
Heinz Austermühle
Harry Seifert
Alois Bauer
Saban Fechner
Swen Bender
Lukas Zorbach
Hans-rainer Bolnbach
Hans-günter Noack
Sönke Hermann
Fred Tröst
Tom Adolph
Yilmaz Pieper
Rico Noack
Micha Misicher
Peter-michael Wernecke
Ismet Hertrampf
Donald Siering
Eitel Käster
Gerwin Dörr
Ivo Hecker
Helmuth Hendriks
Ahmet Butte
Klaus Kramer
Lorenz Fliegner
Karl-heinz Heydrich
Zbigniew Drub
Heinz-günther Siering
Thaddäus Krause
Meinrad Hänel
Alexander Lindau
Alban Niemeier
Friedbert Löffler
Ralf Scheuermann
Luigi Trub
Faruk Schaaf
Muzaffer Säuberlich
Arnfried Oderwald
Uwe Trubin
Eckard Harloff
Frieder Ebert
Gunar Harloff
Roman Weitzel
Cetin Biggen
Maxim Mosemann
Hans-peter Löffler
Klaus-michael Kaul
Giorgio Heß
Abbas Seip
Ottfried Liebelt
Ingmar Wieloch
Jaroslav Dobes
Arnim Wagenknecht
Heinz-georg Mentzel
Marcus Hartung
Bernfried Langern
Gotthilf Albers
Eberhardt Jopich
Dragan Klotz
Oswald Schenk
Frank Franke
Klaus peter Hoffmann
Adolf Cichorius
Theo Koch ii
Matthias Schuchhardt
Cornelius Martin
Roberto Rudolph
Heini Stumpf
Giorgio Wulff
Friedhelm Langern
Micha Schleich
Kunibert Mangold
Riza Thanel
Adolf Vollbrecht
Gotthard Bolnbach
Harold Anders
Eckart Eberhardt
Lars Bruder
Matthias Sauer
Hans-joachim Junk
Sigurd Kensy
Petar Pruschke
Fredo Hentschel
Alfonso Winkler
Hans-theo Mitschke
Günter Gertz
Harold Seidel
Harold Holt
Leander Käster
Bela Wulff
Hans-erich Römer
Francis Löffler
Götz Plath
Adrian Kitzmann
Marijan Bolzmann
David Ebert
Zbigniew Loos
Metin Bärer
Rudolf Klingelhöfer
Tilman Huhn
Max Haase
Sigmund Stadelmann
Kenneth Pruschke
Dittmar Huhn
Muharrem Walter
Marten Weimer
Alex Textor
Klaus-jürgen Bauer
Giovanni Eigenwillig
Niels Trubin
Fatih Bender
Hans jürgen Rogner
Bruno Mohaupt
Wolfram Jopich
Jochem Mitschke
Roland Wende
Senol Bolzmann
Eugen Klapp
Timm Kambs
Thorben Rust
Paul-heinz Stolze
Nuri Juncken
Knud Wende
Bernard Lange
Steven Trupp
Volker Franke
Andre Kohl
Kaspar Rogner
Claus-peter Henck
Johan Trüb
Eckart Henck
Kurt Mitschke
Zenon Oderwald
Enrico Karge
Luigi Sager
Marius Vogt
Horst-dieter Steckel
Benedikt Misicher
Sebastiano Kohl
Aleksej Fliegner
Remo Harloff
Pierre Kruschwitz
Reinhardt Hübel
Edwin Wieloch
Woldemar Holsten
David Hein
Oskar Hellwig
Vadim Oderwald
Hans-jochen Nerger
Leonard Heydrich
Frank-peter Trupp
Hans josef Eigenwillig
Martin Peukert
Stanislaus Gierschner
Pius Ehlert
Karsten Blümel
Theodor Patberg
Hans-josef Gröttner
Tilmann Börner
Rudolph Albers
Sönke Trupp
George Klotz
Enver Walter
Geert Winkler
Louis Stiffel
Hanns Kaul
Giorgio Putz
Erdal Eimer
Kay-uwe Renner
Antonino Heidrich
Tony Hübel
Sieghard Hiller
Hans-jürgen Thanel
Grzegorz Zorbach
Heinz dieter Klotz
Klaus peter Weitzel
Urs Wilms
Uwe Weitzel
Luis Rädel
Aloys Schüler
Joseph Pärtzelt
Zoran Seidel
Karl-otto Rogge
Jonas Fröhlich
Ignaz Scholl
Torben Lange
Mirco Zahn
Eckart Stiffel
Willy Van der dussen
Ignaz Römer
Götz Schottin
Fridolin Sölzer
Adam Löchel
Dariusz Trubin
Walter Dobes
Berthold Trüb
Wladimir Gorlitz
Kornelius Zimmer
Birger Mude
Alexandre Naser
Ralf-peter Häring
Brian Wesack
Ernst Scheel
Andre Mende
Xaver Werner
Francesco Stolze
Leon Gunpf
Meinhard Salz
Roy Textor
Nick Döhn
Bogdan Stadelmann
Till Gerlach
Gunther Henck
August Röhrdanz
Guiseppe Textor
Hans-jörg Heuser
Wojciech Schmiedecke
Utz Butte
Jorge Heidrich
Magnus Köhler
Jörg Kambs
Bodo Thies
Kaspar Sölzer
Engin Wohlgemut
Pero Wernecke
Matthäus Segebahn
Miroslav Häring
Miodrag Heinz
Eckehard Pruschke
Ingolf Trapp
Bernhard Ziegert
Hans georg Budig
Ernst-dieter Siering
Nurettin Patberg
Sönke Davids
Jacob Lorch
Jörg-peter Martin
Joerg Heser
Utz Mitschke
Karl-dieter Dehmel
Heinz-werner Stahr
Marc Geißler
Jakob Girschner
Reimar Trubin
Timo Junk
William Linke
Arnold Barkholz
Timm Beyer
Eckard Stey
Korbinian Dörschner
Heinrich Rosemann
Niko Segebahn
Burkard Dippel
Victor Gumprich
Immo Albers
Gerwin Rust
Orhan Fröhlich
Karl-heinz Junk
Gottlob Scholtz
Vadim Schönland
Nick Bender
Hansjörg Peukert
Roland Hövel
Andy Schleich
Mohamed Stumpf
Wilfried Kostolzin
Vincent Bonbach
Siegward Junken
Timm Hethur
Krzysztof Höfig
Danilo Wieloch
Ismail Fröhlich
Nicolaus Weinhage
Thomas Bolzmann
Enrico Schlosser
Bernd-dieter Rose
Erhardt Wende
Mohammed Winkler
Jörg Oderwald
Karl-friedrich Kabus
Ewald Neureuther
Ekrem Hahn
Thorben Pölitz
Eckhard Weihmann
Gundolf Bruder
Siegfried Bähr
Friedrich-wilhelm Hoffmann
Francesco Reising
Egbert Klapp
Nurettin Zorbach
Kaspar Patberg
Hans-gerhard Bolzmann
William Dussen van
Jerzy Schweitzer
Pawel Gunpf
Antonius Gerlach
Balthasar Häring
Karl-otto Heß
Wigbert Losekann
Reza Vollbrecht
Krzysztof Weimer
Abbas Röhrdanz
Hermann Kramer
Oskar Gorlitz
Mijo Paffrath
Timo Gierschner
Rico Jähn
Hans-adolf Rogner
Heinz Van der dussen
Tino Paffrath
Karl-heinz Köhler
Marius Heydrich
Hinrich Mies
Walfried Häring
Woldemar Eberth
Helmut Kostolzin
Tomislav Sontag
George Schweitzer
Hanni Scheibe
Gino Häring
Alfredo Weinhold
Hans-bernd Klotz
Carl Klotz
Gustav Stiebitz
Heinz-gerd Käster
Dennis Albers
Ludwig Naser
Frithjof Stumpf
Toni Hermann
Nikolaus Ernst
Hubert Stadelmann
Marten Mangold
Aleksandar Scheel
Jürgen Mülichen
Zoran Drewes
Victor Wähner
Ulf Steckel
Knut Wulff
Klaus peter Mans
Stjepan Mangold
Reiner Pruschke
Karl-otto Rust
Michael Junken
Ahmad Schweitzer
Wenzel Rosemann
Wolf-dietrich Ziegert
Marc Werner
Fabian Stiebitz
Hans-otto Budig
Hans-werner Becker
Wolfhard Schönland
Torben Hartmann
Abbas Christoph
Kevin Bohlander
Hans-friedrich Textor
Tilo Winkler
Johann Häring
Wojciech Walter
Carmelo Kranz
Gerwin Riehl
Salih Schönland
Laurenz Beier
Burghard Gunpf
Kai-uwe Klotz
Janos Gude
Zeki Söding
Ismail Budig
Thilo Dörschner
Bertram Hettner
Ernst-dieter Haase
Pasquale Patberg
Hans-hinrich Preiß
Jobst Werner
Swen Röhrdanz
Christos Schuchhardt
Serge Segebahn
Leo Putz
Karlfried Nohlmans
Alessandro Ruppersberger
Hans Lorch
Guiseppe Bähr
Senol Bolander
Antonius Naser
Krzysztof Scholtz
Ingo Hofmann
Miodrag Spieß
Jovan Bloch
Jaroslaw Wulff
Niels Linke
Eckart Drubin
Nurettin Conradi
Benedikt Berger
Immo Klapp
Arthur Koch
Justus Christoph
Arif Ditschlerin
Darius Schottin
Kevin Eimer
Jörgen Hentschel
Zeki Hövel
Heinz-walter Jäkel
Arthur Kraushaar
Hans-willi Oderwald
Engin Otto
Bernd-dieter Börner
Kemal Budig
Josef Mans
Enver Mitschke
Diether Kitzmann
Ilhan Bien
Heinz-joachim Dietz
Walther Wilms
Krzysztof Sontag
Nikolas Löchel
Phillip Rose
Rolf-dieter Hering
Necati Gude
Bruno Matthäi
Arne Martin
Kristian Baum
Selim Stumpf
Hans-hermann Jacob
Jochen Dörschner
Eggert Gute
Eitel Hornich
Nikolas Pruschke
Sigurd Metz
Mohamed Bärer
Arne Atzler
Karl-friedrich Girschner
Alessandro Zahn
Woldemar Jockel
Burghard Pohl
Enver Klotz
Karl-heinz Döhn
Franco Krein
Ernst Schuster
Folkert Weller
Thies Lachmann
Hans-h. Pieper
Hans-rudolf Striebitz
Hans-helmut Neuschäfer
Luciano Kaul
Lorenzo Schaaf
German Ruppert
Boris Ruppersberger
Ulf Speer
Jonas Neuschäfer
Carmelo Gnatz
Nikolaos Hölzenbecher
Imre Kostolzin
Mohamed Bolander
Reza Kaul
Aleksej Klemm
Edmund Holsten
Cengiz Röhricht
Reiner Mülichen
Dusan Jäntsch
Marius Weinhold
Eric Ruppert
Patric Scheel
Alberto Stumpf
Ingmar Langern
Timo Kabus
Gustav Hövel
Fredy Nohlmans
Arnd Bolzmann
Willy Ditschlerin
Abram Graf
Ronald Stahr
Gerfried Rudolph
Reiner Beer
Renato Ruppersberger
Otfried Fröhlich
Harold Weller
Michail Seifert
Jörn Förster
Steve Ullmann
Raphael Bruder
Remo Metz
Sedat Gute
Daniele Zahn
Sandro Blümel
Nico Preiß
Xaver Wähner
Ben Klemt
Anatoli Gunpf
Volker Wohlgemut
Ralf Huhn
Danny Thies
Rigo Seifert
Mustafa Steinberg
Albrecht Jähn
Wenzel Weimer
Tobias Dörschner
Mato Zorbach
Raik Segebahn
Ilja Ebert
Raymond Vollbrecht
Torben Zänker
Christof Kuhl
Ingmar Karz
Dursun Kabus
Apostolos Hecker
Bernard Ladeck
Wulf Adolph
Thorsten Schacht
Fridolin Grein groth
Konrad Jähn
Ahmet Hamann
Salih Klemm
Fred Naser
Vlado Hermann
Dirk Binner
Rene Kade
Ingmar Schwital
Massimo Kruschwitz
Matthias Hornich
Willy Nohlmans
Kenan Franke
Paolo Krause
Klaus-dieter Heuser
Arnold Klemt
Denis Ackermann
Meik Freudenberger
Dursun Kruschwitz
Jens-peter Hahn
Ilhan Thanel
Stefano Nette
Albert Schenk
Ottomar Davids
Helmut Eberth
Abraham Misicher
Hannes Möchlichen
Ivan Hendriks
Ewald Mies
Karl-peter Jäntsch
Ron Hentschel
Karsten Säuberlich
Gaetano Kusch
Alf Mude
Klaus-werner Geißler
Jaroslav Schacht
Czeslaw Rogner
Wilhelm Holsten
Kasimir Jessel
Darius Häring
Ernst-august Henk
Klaus Eigenwillig
Hans-bernd Johann
Karl Hauffer
Heinz-jürgen Geißler
Claus-dieter Klemm
Siegmund Steinberg
Sandor Holt
Bertold Mangold
Joseph Bohlander
Bernt Paffrath
Hans-jürgen Scholz
Arnfried Buchholz
Ottfried Eberth
Tomislav Jüttner
Jörn Fröhlich
Giuseppe Junitz
Nikolaus Pieper
Heinz-günter Römer
Artur Holsten
Gunther Krause
Nils Häring
Falk Briemer
Valentin Segebahn
Leon Ritter
Zbigniew Klemt
Maxim Eimer
Slavko Kambs
Claudio Heinz
Christof Köhler
Muharrem Haase
Wolf Scholz
Erdogan Herrmann
Vassilios Lange
Udo Klemt
Valentin Ullmann
Hans-ulrich Heintze
Ferdi Gute
Gerhardt Heß
Vinko Seifert
Gerhard Junck
Geert Förster
August Bohnbach
Wieslaw Rust
Raymund Ackermann
Goran Zimmer
Henry Gorlitz
Holger Holt
Aribert Flantz
Zdravko Gierschner
Hans-wolfgang Hauffer
Nick Huhn
Willfried Koch ii
Hanspeter Söding
Dimitri Budig
Jens Ebert
Gebhard Wernecke
Jörgen Renner
Thaddäus Gröttner
Jörg-peter Keudel
Serge Faust
Andrei Sager
Georg Faust
Hansjürgen Etzler
Gotthilf Hornich
Bartholomäus Gnatz
Aloys Stumpf
Steve Gieß
Falk Hornig
Simon Mielcarek
Hans-günter Ullmann
Orhan Dörr
Gerolf Barkholz
Guenther Haase
Torsten Graf
Hanno Gröttner
Friedemann Matthäi
Ralf-peter Liebelt
Niklas Käster
Raik Säuberlich
Guenther Eimer
Raik Trubin
Jerzy Ackermann
Niels Gorlitz
Friedhold Mude
Gert Killer
Karl-dieter Wulff
Hans-erich Neuschäfer
Rudolf Pölitz
Heinz-gerd Rudolph
Brian Möchlichen
Gabriel Hübel
Goran Schmidt
Fatih Hermighausen
Anselm Wilmsen
Rouven Eigenwillig
Fatih Dörr
Oswald Mies
Pedro Siering
Guenther Benthin
Achim Harloff
Philippe Martin
Vincent Scholl
Nick Trommler
Mohammad Scheuermann
Patrick Förster
Fredo Mälzer
Rolf-peter Möchlichen
Hans-heinrich Hahn
Milos Mies
Jörg-peter Textor
Diedrich Schlosser
Sandor Hentschel
Herwig Girschner
Björn Neureuther
Hermann-josef Carsten
Zoran Lindau
Maximilian Butte
Eberhardt Beyer
Willy Noack
Bruno Drewes
Fridolin Winkler
Wieslaw Margraf
Helmar Biggen
Manuel Hande
Ingmar Zahn
Reinhard Weihmann
Theo Kostolzin
Mirco Cichorius
Björn Schleich
Ludwig Dörr
José Mude
Marcus Rudolph
Ingo Salz
Gerald Mitschke
Henryk Kraushaar
Gereon Huhn
Gotthard Nohlmans
Lorenz Heuser
Rolf-dieter Stadelmann
Klaus-jürgen Jopich
Frederic Butte
Slobodan Rogner
Roman Bolzmann
Matthäus Herrmann
Aleksej Bähr
Karlheinz Herrmann
Norman Pieper
Herbert Beyer
Ron Ruppert
Vinko Bender
Heinrich Holzapfel
Pirmin Kusch
Willibald Klemm
Heinz-werner Gunpf
Ben Hecker
Holger Weihmann
Attila Kroker
Oswald Mälzer
Abram Schacht
Guntram Höfig
Ivo Spieß
Drago Aumann
Olaf Schäfer
Herrmann Gieß
Dirk Rosenow
Ingmar Bonbach
Diethelm Steinberg
Wolf-rüdiger Meyer
Ante Seifert
Dogan Schmiedecke
Arno Oderwald
Konstantin Lehmann
Cengiz Bachmann
Hans-uwe Berger
Nurettin Schottin
Mahmut Mans
Bartholomäus Heinz
Augustin Förster
Muzaffer Schacht
Vito Wähner
Igor Liebelt
Gebhard Mühle
Danilo Klapp
Hans-albert Scheuermann
Martin Wulf
Ron Schönland
Dennis Haase
Philip Koch ii
Heinz-willi Klotz
Fatih Scheel
Berndt Atzler
Volker Hein
Tony Hesse
Mato Köster
Fredo Dörschner
Karl-friedrich Henschel
Moritz Pärtzelt
Heinz-günter Binner
Wolf-dieter Loos
Franco Pärtzelt
Guntram Tröst
Miroslav Seifert
Darius Hettner
Ekrem Drub
Willibert Reinhardt
Luciano Scheel
Cosimo Schmidt
Horst-günter Haering
Gerhard Fechner
Thorsten Mülichen
Francesco Adler
Kazim Budig
Raymund Blümel
Leonard Pärtzelt
Tilmann Köster
Gino Kensy
Karl-dieter Mülichen
Vassilios Noack
Gotthard Pölitz
Pawel Jäntsch
Vinko Gunpf
Klaus-günter Schlosser
Andy Reuter
Murat Hering
Gerhardt Lange
Cemal Wulf
Fredy Graf
Friedbert Radisch
Vitus Hentschel
Ilhan Kensy
Zlatko Preiß
Ingbert Faust
Frithjof Rust
Anatoli Gerlach
Oswald Binner
Ekkehard Keudel
Dusan Wirth
Ingo Ullrich
German Mende
Michael Jacob
Viktor Reuter
Philipp Mitschke
Ronald Rogge
Fredy Matthäi
Kunibert Hein
Eckart Hübel
Massimo Geisler
Rudolf Margraf
Joerg Speer
Frieder Pölitz
Stefano Butte
Wieslaw Kreusel
Mesut Scheibe
Andrey Henk
Gustav Albers
Malte Weihmann
Claas Ortmann
Andre Rogge
Reimer Salz
Matthias Dippel
Volkhard Ritter
Michael Pergande
Jaroslav Meister
Tomislav Ruppert
Konrad Fischer
Fatih Möchlichen
Jobst Tintzmann
Dietrich Schleich
Engelbert Ebert
Winfried Geisler
Arndt Davids
Sebastian Gerlach
Hansjürgen Zahn
Milan Fliegner
Micha Naser
Ferenc Klemm
Ernst-otto Hermighausen
Ferdinand Renner
Mathias Weitzel
Curt Otto
Apostolos Steinberg
Murat Trub
Marc Döhn
Jörg Roskoth
Franz-xaver Knappe
Roberto Patberg
Gotthard Etzold
Detlef Kostolzin
Dennis Rohleder
Heinz-günther Haase
Enrico Hande
Hans-rudolf Striebitz
Hans-rainer Beyer
Ruben Wagenknecht
Pirmin Wilmsen
Klemens Johann
Jens Rohleder
Anatolij Kuhl
Philippe Preiß
Sören Stahr
Heinz-peter Ullrich
August Dippel
Henning Döhn
Theo Heinz
Silvio Pohl
Anto Wiek
Gilbert Heuser
Ernest Winkler
Mustafa Fischer
Massimo Junitz
Ingbert Sontag
Osman Rogge
Salvatore Wähner
Nick Roht
Hans-heinrich Peukert
Guntram Ruppert
Enver Weller
Hans d. Walter
Sieghard Buchholz
Eckhard Jungfer
Wladimir Boucsein
Hans-gerd Pärtzelt
Hans-eberhard Etzler
Vladimir Trub
Mike Metz
Erik Löffler
Gerfried Seifert
Martin Losekann
Hans-hinrich Ebert
Abbas Salz
Carlos Hein
Lutz Krause
Rudi Drewes
Hassan Eckbauer
Burkhard Wagenknecht
Ferenc Hethur
Nicolas Hoffmann
Jaroslav Salz
Pierre Kühnert
Lars Klapp
Massimo Wende
Leif Höfig
Arnold Bolander
Benno Faust
Joseph Bloch
Ernest Schmiedecke
Mohammad Gnatz
Willi Schaaf
Siegmund Rosenow
Niko Stoll
Dirk Rose
Gino Schuchhardt
H.-dieter Gunpf
Hajo Matthäi
Arno Kitzmann
Danny Rogner
Marcus Putz
Alfredo Kreusel
Helge Geißler
Sepp Niemeier
Moritz Schmidt
Carlo Hauffer
Amir Kensy
Jens Römer
Miroslaw Stiffel
René Eigenwillig
Andrey Wagner
Markus Henck
Torsten Zobel
Valentin Kranz
Selim Dehmel
Eduard Fischer
Eugen Mühle
Hansjürgen Christoph
Jaroslav Weller
Hellmut Hoffmann
Henning Dippel
Fredy Auch schlauchin
Guenter Bolzmann
Hans-jochen Reuter
Miroslav Kabus
Sandro Kensy
Heinz dieter Ring
Arnd Geißler
Ernst-dieter Sauer
Mato Hermighausen
Winfried Sauer
Janos Rosenow
Angelo Oestrovsky
Baldur Krein
Heinz-georg Pergande
Attila Krause
Pirmin Pohl
Viktor Rudolph
Franz josef Geisler
Carmelo Davids
Arnim Eberhardt
Günter Holzapfel
Kaspar Hänel
Roberto Löffler
Ortwin Salz
Max Fritsch
Guiseppe Bolnbach
German Heidrich
Senol Börner
Marcel Dörschner
Alex Döring
Hans-dietrich Weinhage
Danny Hellwig
Hassan Heinz
Berndt Jacobi jäckel
Max Stiebitz
Jiri Rohleder
Sigismund Mielcarek
Ansgar Weinhold
Attila Lachmann
Dennis Stiffel
Giuseppe Hering
Ottmar Wagner
Hans-hermann Dietz
Marten Häring
Alfons Lorch
Daniele Briemer
Hans-wilhelm Thies
Pero Ruppert
Ibrahim Van der dussen
Anatolij Striebitz
Sebastiano Löchel
Dariusz Mühle
Mesut Zobel
Mehmet Wernecke
Josip Rohleder
Hinrich Benthin
Gerolf Hörle
Ottomar Auch schlauchin
Antonius Walter
Reinhard Junk
Gerald Atzler
Ali Scheibe
Franco Gutknecht
Steffen Heß
Wojciech Geisel
Uwe Wagenknecht
Hans-christian Säuberlich
Hans jörg Wähner
Raik Fröhlich
Artur Siering
Wolf-rüdiger Kaul
Ansgar Trub
Hansjoachim Etzler
Nikolaj Jüttner
Frank-michael Johann
Folkert Scheibe
Karsten Eberth
Heini Seidel
Karl-jürgen Blümel
Michel Kuhl
Muharrem Weinhold
Senol Gerlach
Klaus-michael Neureuther
Gerald Scheibe
Heini Peukert
Aribert Meister
Bernhard Jopich
Claudius Ullmann
Arif Pohl
Roy Gieß
Franz josef Roht
Dagobert Schmiedecke
Albrecht Schmiedecke
Eugen Beyer
Olaf Pruschke
Jürgen Pieper
Malte Hein
Vito Grein groth
Sedat Bauer
Fredi Dehmel
Nick Drubin
Kemal Möchlichen
Dominic Mude
Karl-josef Börner
Bela Hertrampf
Jörg-peter Austermühle
Mijo Ziegert
Raik Henk
Tomasz Reinhardt
Carsten Schottin
Heimo Bähr
Marijan Boucsein
Gert Jopich
Tom Lindau
Ramazan Stiebitz
Maurizio Trub
Abdullah Söding
Bernward Steckel
Karlfried Werner
Edmund Baum
Karl-dieter Kusch
Gerd Kitzmann
John Speer
Sandro Ditschlerin
Sandor Naser
Georg Zobel
Arnim Zorbach
Kemal Thanel
Hermann josef Otto
Heinz-peter Auch schlauchin
Matteo Schweitzer
Gunar Geisler
Jorge Zobel
Miodrag Ruppersberger
Gernot Karz
Necati Misicher
Carl-heinz Metz
Gero Hettner
Ivan Junck
Alexander Roht
Günter Eckbauer
Johann Klotz
Rene Bohlander
Kurt Bohlander
William Kensy
Theobald Schwital
Achim Löchel
Eberhardt Scholtz
Vinko Schulz
Heinz-willi Stroh
Reginald Rosenow
Sabri Briemer
Adolf Dietz
Lorenz Hübel
Daniele Kensy
Winfried Blümel
James Mende
Alberto Hettner
Hermann josef Hethur
Slavko Auch schlauchin
Hansgeorg Gnatz
Peter-michael Mohaupt
Milan Langern
Utz Rosenow
Ralf Otto
Hajo Rudolph
Ahmet Weimer
Sönke Vollbrecht
Walther Girschner
Mohamed Neuschäfer
Paul-gerhard Bauer
Senol Hering
Dietrich Bähr
Anto Rörricht
Constantin Biggen
Karlheinz Misicher
Ingo Oestrovsky
Pascal Ehlert
Fritz Jäkel
Hakan Biggen
Sören Hande
Iwan Rudolph
Julius Hettner
Thomas Scheel
William Franke
Damian Radisch
Silvester Häring
Tim Berger
Claus-dieter Wernecke
Hermann josef Etzler
Curt Fliegner
Johann Mohaupt
Friedo Atzler
Heinz dieter Hein
Karl-josef Schuster
Fredy Johann
Hans-h. Lindner
James Berger
Bernd Schleich
Conrad Drubin
Albin Oderwald
Björn Mude
Nuri Vogt
Hans-erich Beckmann
Hans-wolfgang Niemeier
Fred Pärtzelt
Riza Löwer
Björn Holzapfel
Birger Ritter
Thomas Niemeier
Jorge Langern
Boris Hecker
Zenon Wilmsen
Rene Drewes
Stephan Beier
Raymond Werner
Sami Dippel
Toralf Ehlert
Leonid Rosenow
Klemens Davids
Andreas Kruschwitz
Alexandros Bruder
Jörg-peter Hübel
Kasimir Mühle
Diether Langern
Bernward Gude
Willfried Matthäi
Slobodan Mälzer
Gotthold Berger
Bertram Schlosser
Dieter Rogner
Ehrenfried Dowerg
Miodrag Förster
Sandro Bolander
Willibert Ritter
Kevin Birnbaum
Rouven Karge
Niklas Sölzer
Wolf Kaul
Peter Weihmann
Hans-detlef Krein
Andrzej Kranz
Ekrem Rogge
Louis Schuster
Egbert Rosemann
Marcus Mude
Vitali Austermühle
Philippe Henck
Edgar Metz
Eckhard Hauffer
Zeki Haering
Mirco Wirth
Alan Kranz
Volker Juncken
Tomas Seip
Claus-peter Eberth
Karl-ernst Bachmann
Jovan Scheel
Jiri Rörricht
Dusan Roht
Otto Ullmann
André Neureuther
Knud Zimmer
Andree Sauer
Saban Beier
Hans-friedrich Rädel
Osman Junken
Anatoli Holsten
Rafael Dippel
Martin Junitz
Wilfried Kallert
Reimar Langern
Bayram Buchholz
Piotr Girschner
Heinz-otto Weitzel
Alfred Bender
Carmelo Pieper
Augustin Schmidt
Eckart Weiß
Emanuel Hörle
Eckard Peukert
Anthony Jüttner
Eberhardt Naser
Maurice Wieloch
Veli Otto
Raphael Freudenberger
Eugen Werner
Jovan Heinrich
Andre Krause
Wolf Heuser
Bernward Käster
Metin Heintze
Martin Binner
Silvio Schaaf
Leif Bachmann
Anastasios Langern
William Roskoth
Reginald Flantz
Hans-rainer Ziegert
Sören Cichorius
Hans-peter Dörr
Thoralf Hartung
Adrian Stey
Ingbert Köhler
Hannes Mies
Luis Kohl
Joseph Junck
Philip Süßebier
Marijan Briemer
Joerg Tröst
Jörg-peter Schacht
Istvan Täsche
Alfred Gutknecht
Bekir Bähr
José Eimer
Timm Bachmann
Niels Wulff
Mehdi Graf
Ullrich Ackermann
Burghard Pölitz
Erwin Staude
Miodrag Schuchhardt
Bernd-dieter Rosenow
Tibor Ullmann
Senol Winkler
Vincenzo Schwital
Dietrich Franke
Ansgar Carsten
Klaus-peter Hentschel
Franco Meyer
Silvester Wesack
Karl-ludwig Jessel
Heinz-jürgen Nohlmans
Ioannis Zahn
Ewald Bachmann
Hans-josef Keudel
Gino Gumprich
Arnfried Käster
Paul-gerhard Hellwig
Jan-peter Riehl
Hansjörg Fiebig
Sükrü Haering
Horst-peter Girschner
Willibald Barkholz
Kornelius Heß
Swen Huhn
Dino Seifert
Abbas Atzler
Jost Rust
Klaus-michael Sager
Pasquale Beckmann
Vinko Kabus
Nikolaus Fiebig
Ryszard Dussen van
Lambert Haering
Jose Berger
Jonathan Cichorius
Sepp Wernecke
Rudolph Keudel
Ullrich Mülichen
Eugen Henk
Peter Birnbaum
Hans-j. Scheel
Gaetano Gröttner
Adelbert Wiek
Muzaffer Mitschke
Hellmut Mühle
Andrei Rudolph
Franjo Schaaf
Raymund Textor
Arif Heydrich
Luigi Bloch
Mirco Hartung
Norbert Fiebig
Jaroslaw Löwer
Mohammad Mohaupt
Cemal Gutknecht
Immo Heidrich
André Weimer
Vincenzo Hauffer
Angelo Zorbach
Friedrich Christoph
Conrad Heß
Samuel Striebitz
Hans-willi Ritter
Othmar Bolzmann
Aleksandr Gerlach
Heinz Hering
Michail Weitzel
Tomasz Fiebig
Miodrag Rädel
Hanno Berger
John Sorgatz
Gerhardt Loos
Ludwig Mende
Louis Benthin
Oswin Gehringer
Ian Hofmann
Uli Jacobi jäckel
Theobald Textor
Matteo Jähn
Diethelm Barth
Gerd Krause
Wolf-rüdiger Rohleder
Leonardo Schönland
Thorsten Döhn
Bernard Geisel
Recep Kuhl
Ignatz Reichmann
Danilo Koch
Bruno Mielcarek
Juri Zänker
Zlatko Wieloch
Juri Wilmsen
Ditmar Kobelt
Amir Mälzer
Burckhard Bärer
Ahmet Buchholz
Edward Schottin
Gottfried Zorbach
Arno Walter
Gerolf Heidrich
Christof Dörschner
Donald Martin
Thomas Klapp
Carlo Trub
Eric Köhler
Giuseppe Trommler
Matthias Henck
Kuno Loos
Gotthold Otto
Conrad Biggen
Hans-henning Röhrdanz
Ottomar Klapp
Pavel Holt
Hans-albert Naser
Niklas Franke
Alban Rogge
Franz Ernst
Michael Herrmann
Marek Pieper
Hans-günther Misicher
Franz-josef Nerger
Torsten Schweitzer
Heimo Henk
Ruben Zorbach
Petar Otto
Heinz Schüler
Holger Schäfer
Fedor Preiß
Edelbert Drewes
Victor Hecker
Theodor Eberth
Burkhardt Döring
Adrian Schwital
Karl-wilhelm Jungfer
Heinz-wilhelm Seifert
Hilmar Pärtzelt
Hans-bernd Nohlmans
Leonard Textor
Wladimir Scheibe
Henrik Geisel
Timm Bachmann
Emmerich Knappe
Ernst Mohaupt
Franz josef Linke
Kevin Lange
Juri Drubin
Heimo Adler
Hellmuth Wende
Hans-martin Boucsein
Carl Dobes
Gerhart Geisel
Aleksej Hermighausen
Karl-friedrich Werner
Uwe Nerger
Augustin Kitzmann
Ferenc Zobel
Georg Krebs
Karl-otto Adolph
Miodrag Löchel
Ferenc Bonbach
Fatih Sontag
Rolf-dieter Etzold
Dimitri Wieloch
Ullrich Krause
Silvio Textor
Drago Stahr
Vito Wiek
Folker Bähr
Andreas Heinrich
Eckart Häring
Theo Werner
Adrian Dörschner
Philipp Losekann
Hans jürgen Klotz
Oskar Stiebitz
James Eigenwillig
Kenneth Hoffmann
Milan Lindner
Hinrich Schinke
Wladimir Kobelt
Jochen Bolander
Dietmar Dobes
Ehrenfried Haase
Mahmut Nohlmans
Robby Pohl
Hubert Noack
Hans jürgen Heinz
