Abdul-asad 
Hazheer Zarqan
Hafid Bin
Only The
John Alouqi
Tamer Zahlawi
David Daudi
Samen Tseman
Zakaria Mehra
Masoud Bin
Kanzus Bin
Jahida Ahmed
Abdul Hajj
Abdul Malik
Ahmad Al-dasuqi
John Beiruti
Hafan Beiruti
Marsey Bin
Moussa Shabanani
Hossein Ali
Jacob Khazaa
Mikhail Yuzbashiy
Ahmad Alkhalili
Sammy Shatia


mohammed Zahjaj
Haytham Saim
Nasseruddin Mdur
Majed Naqib
Ahmed Sheth
Majed Khazaa
Mohamed Daqqaq
Hazdi Alami
Nooruddin Awaalik
John Hamir
Munir Bin
Mohammed Nihad
Jalaluddin Bano
Hassan Al-husseini
English First
Ahmed Al-hudhami
Mashari Thaqif
John Mann
Kemal Istanbuli
Salim Ahmed
Khalid Al-ows
Wael Anbaz
Ahmed Aldeel
Abbas Ibn
Solomon Adwan
Nooruddin 
Thank You
Leith Pride
Anas Salim
Abdul Halim
Ahmad Al-kuwaiti
Mazhad Abed
Taha Qasim
Ghamid Sharif
Mohammed Jabali
Abu Eid
Khamis Aamer
Hassani Khatim
Essam Hethail
Hafez Mani
Jalil Al-qabani
Mishal Shamr
Abdulrahman Tripoli
Safyan Khazaa
English First
Abdul Haq
Ahmed Ajramah
Kabir Matuq
Harith Muter
Abdul Baqi


john Smith
Hammad Al-jabsha
Abdul Muteer
Shahab Al-qubani
Tim Quraysh
Himam Al-khatib
Benom Malek
Mashari Mazyana
Sultan Delim
Ahmed Shihabi
Abdul Hafiz
Abdul Sami
Ghaniyan Shalan
Ahmad Al-din
Masoud Azhiman
Saad Bin
Ahmed Al-awazem
Abdulaziz Tripoli
Quthan Al-tahhan
Makram Ben
Shaman Usman
Mohammed Al
Mishfaq Ghanim
Ahmed Al-shawish
Marsey Qawasem
Fakhruddin Shumr
Jafar Alsakhr
Thankyou Bo
Beautiful Shuhuh:
Sam Awaida
Abu Shibli
Masad Najm
Kleim Desi
Khalid Al-mansour
Jacob Sharif
Abbas Dawdi
Rabia Qataz
Arnaud Dupont
Muhannad Al-jaouni
Ahmed Aljawwi
Mousa Ben
Ahmed Al-dawsar
Eastern Ben
Mohiyyuddin Haziel
Hussein Rabiea
Miraafab Saadi
Zahraan Khan
Harith Bin
Ibn Al-muqaffa
Abdulrahman Saheli
Hazem Alqazzaz
Mohamed Al-khatib
Jafar Zargan
Kafoor Al-daqqaq
Maammar Ghatafan
Abdullah Qabila
Akawi Nasri
Fazimana 
Dalal Al-dulaim
Aftin Amir
Adam Assad
Adel Hussein
Abdulaziz Ebaid
Thank You,
Sarnandh 
Nawah Akawi
Saad Bin
Barak Mosaff
Abdulaziz Aljawwi
Abdullah Bin
Zaid Bin
Jehinah Hajjaj
Monsy Yacoubi
Salahuddin Kannan
David Comple
Ahmed Alarf
Zayed War
Mohsen Najm
Muslim Alqazaz
Fahim Farahid
Khaleel Bin
Ameema Hamidah
Ziyad Anas
Hamedan Sadat
Nader Al-tarmunan
Anjumuddin Bhamdouni
Hisham Dassouqi
Zakariya Ayyoubi
Mohammed Hamidah
Mohammad Jabiili
Hassan Gailani
Samar Atieba
Ahmed Shahabi
Mohammed Jazini
Hassan Mghari
Hafez Aklub
Mohammad As-saffar
Qutham Anmar
Ghamid Dervish
Samah Bin
Ahmed Khazaei


john Smith
Hamedan Safai
Jamaluddin Buhamedooni
Azmi Namer
Yusuf Bashir
Ahmed Al-maraziq
Afghanian: Mohammad
Abdullah Al
Kazem Al-houietat
Ahmed Mushasha
Ahmed Al-hawaash
Ahmed Eltefi
Ahmed Khazaki


john Smith
Samad Ghamid
Ahmed And
Rashid Bensaïd
Abdulaziz Bakr
Mohtave Jadis
Ahmed Nassif
Adam Ziyamani
Ahmed El-shouqi
Imam Al-qantar
Berqdar Makeen
John Carpenter
Fakhruddin Zuhayka
Anna German
Mazhar Ajrama
 Answer:
Din Abdul
Ahmed Naqib
Tariq Bilghasi
Sarajuddin Hindi
Manaaf Beshiti
Kazem Zamamiri
Fazher Butler
Abdul Shukoor
Cais Aylan
Sadam Salim
Ahmad Alkathiri
Ahmed Atieba
Abbas Hussaini
Shafae Al-zamamiri
Hagar Ibn
Amrith Bin
Joseph Bin
Ali Dervish
Abdul Ghani
Abdulrahman 
Hanifa And
Ahmad And
Jafar 


john Smith
Jadir Nuruddin
Younes Id
Habib Beiruti
Arnaud Théophile
Abdulqais Jariir
Jafari Qadri
Douglas Adams
John Bamford
Archimedes Zaghloul
Omar Shihabi
Dalim Alfarah
Mouns El
Wael Banim
Fatemah Alami
Essam Rabat
Abdul Jalil
Mohammed Khazae
Aasam Amir
Zaid Bin
Najibuddin 
Salah Zalatimo
Kazghul Qahtan
Fasal Kholan
Essam Shahran
Tiktam Al-ansari
Hisham Al-afifi
Kanata Nakata
Abdul Saud
Kamaluddin Zafir
Zafar Bin
Ajram Ajram
Mohammed Doballah
Abdul Tawwab
Jafar Bin
Munir Bin
Mohammed Khalid
Ahmad Zamamiri
Ahmed Samoom
Ahmed Akawi
Abdul Salam
Hukam Bin
Zaid Zuhailawi
John Coast
Hamid Bakr
Jafar Qurman
David Ezra
Iead Saahd
John Traben
Nooruddin 
Mohammed Al-waqri
Farzad Zabihi
Iyad Ddin
Hashim Ibn
Abdul Salam
Beno Sheiban
Mohd Al-sahul
Samed Sulayman
Alfred Yuzbashyan
Frederik Mani
Ahmed Zahika
Mustafa Bekir
English First
Abdullah Al-ajmi
Mohammed Ben
Najm Firstname,
Rabia Rabea
Jabir Muzahij
Safyan Neshashi
Karam Droush
Din Bannajar
Abdul Hayy


john Smith
Zaher Al-jaouni
Rajib Rahim
Beni Rashid
Ahmed Bin
Karam Baghdad
Doubalal Mansei
Hassani Benyas
Abdul Rahman
Ali Imam
Thank You,
Kais Aylan
Kareem Jazini
Ahmed Badiriya
Kholan Gholam
Malik Beno
Mohammed El
Hussein Al
Mohsine Alqaei
Jassim Bin
Salahuddin Bin
Aneim Qalibou
Ahmedan Haziel
Nooruddin 
Salman Zalatimo
Fahad Murad
Abdul Halim
Adam Aser
Ambassador Bamia
Thank You
Hemam Bakhari
Abdul Ghaffar
Omar Zahiqa
Othman Khazaa
Hammza Hamir
Noureldeen Ashjae
Faruq Sumeria
Mohammed Haidam
Ahmed Al-hulwani


john Smith
Ahlal Harb
Hafez Al-hwash
Ghasan Qatina
Abdulrahman 
Sabri Ben
Fatima Al-qubaysi
Ahmed Al-bashiti
Malik Smith
Abdulqayyum Sabri
Nour Khazaa
Abdulrahman Qutainah
Hassan Tahan
Abdul Tawwab
Manaf Shwefati
Ahmad Al-zarir
Rabia Saved
Athamir Yafa
Zahir Khandf
Omar Khayyam
Abdul Baqi
Muhdi Alattal
Wael Abdelaziz
Shafae Al-sahhoul
Tamer El-dessouki
Ahmed Al-tarmunai


john Smith
Abdul Hayy
Jacob Sharif
Mahmoud Aliyan
Farshad Zafir
Abdul Rauf
Salam Al-mofty
Hisham Aljawwi
Jamaluddin Kebaibesh
Kanan Jazār
Shaker Shamr
English First
Ibn Khaldun
Zafir Naseeba
John Stone
Return: Tripoli
Amr Omar
Hafez Al-namr
Tarabin Mahan
Iyad Mahama
Farahed Mohammad
Eastern Mahra
Shahrad Sharifan
Adam Adi
Noora Desi
Ahmad Ibn
Arnautou Kefour
Kaleem Hamedan
Zabir Afghan
Abdul Qahhar
Amer Sasaa
Thursday Mosses
Khaled Shtaya
Kaleem Salim
Amioni Shahaab
English First
Zehra Jadis
Cheryl Oweida
Samir Ajrama
John Desi
Naseruddin Waari
Yasser Harb
Kafoor Bahlula
Leith Smith
Sadam Perkdar
Fatin Jadis
Aqil Jauni
Ajalal Hindi
Hadi Alshami
Abdul Moula
Abdul Qahar
Mohammed Moroccan
Farshad Jouda
Ahmed Bin
Beno Kenez
Ans: Anas
Jacob Ibn
Mahmoud Alhalaq
Hammad Bin
Marsel Malek
Abdul Baqi
Hassan Al-qabani
Hassan Adwan
Yahya Alshaiban
English First
Sammy Halwani
Fahad Al-qubaini
Abdulrahman Bin
Khalid Bin
Hassan Bin
Abdulaziz Obaid
Azar Ould
Hussein Khalafawi
Ida Iverson
Basim Mashasha
Ahmed Hassan
Hazil Al-baqum
Abdullah Al-jumain
Abdul Shukoor
Tomaz Adrah
Ahmad Al-kulghasi
Abdul Saud
Maneb Kanda
Nassif Gedess
Rashed Bin
Sam Bamieh
Abidah Aljedah
Ahmad Al
Mudhir Taha
Shadi Benokleb
Ahmed Shahabi
Abdulmoula Attiba
Madeleine Mann
Ahmad Ehram
Abdul Latif
Shamkhah Al-hadad
Mohammed Abouzaid
Samid Shaban
Hafan Shami
Sarndih Athair
Nader Alnajar
Jacob Matwally
Binoy Hashim
Zahir Bin
Abdul Khaliq
Khalid Al-mutairi
Jalal Al-bayssar
Abdulqais 
Zubair Al-mufti
Shibab Al-dosouqi
Ahmed Rabatab
Mohammed Madhar
Omar Saidawi
Darajuddin Hijazi
Ahmed Alshayea
Amr Omar
Sohada Sommera
Ahmed Jazari
Hisham Ibn
Hussein Murad
Sarah Al-qutb
Shaamkh Al-qurjooli
Tomas Benyas
Amanir Sasaa
Abdul Qadir
Nooruddin 
Dariya Abdulaziz
Ghamid President
Mosaab Haddaad
Abdullah And
Abdul Ansaari
Abdul Saud
Tariq Jazini
Imam Al-tammim
Ahmed Bamieh
Zubair Hindi
Abdul Wahid
Abdul Salam
Abdullah Ghanam
Ahmad Bin
Ahmed Badri
Fatima Jadis
Adi And
Abdulrahman Bakiel
Abdul Wahid
Hassan Lam
Shakib Al-seifi
Abdul-tawf 
Khalim Hajazi
Haliimah Aamilah
Razat Aldosoki
Ahmad Al-din
Michael Ferguson
Fatemah Khuzurj
Karam Bakr
Ahmed Al-qalamouni
Jalal Al-maarif
Ahmad Bin
Qutham Bdiriya
Abdul Rashid
Abdul Ghani
Shahab Najm
John Blue
Abdullah Bin
Sahar Tooteh
Adam Bin
Ziyad Bin
Hajar Bin
Ramadan Amer
Fawwaz Al-khalafawi
Sahad Ghanim
Fahd Bin
Abdulaziz Alnakeeb
Kazem Jadham
Shakib Maatouq
Ahmed Rabab
John Red
Liyana Azlan
Ahmed Abied
Hamedan Hadi
Shoefati 
Jehina Qataz
Ben Sakhr
Laith Shami
Abdul Karim
Ahmad Alhudhami
Noor Al-haqq
Saifuddin Jooda
Ahmed Bin
Malik Bin
Amar Zohaima
Mashfaq Bin
Kamal Al-hulwani
Hosni Mubarak
Ahmed Al
Zaid Bin
Hafiz Ghatfan
Haitham Tannoukh
Saad Bin
Nasiruddin Kawahela
Thomas Smith


tammim Tammim
Khalid Bin
Kais Aylan
Marammar Beshiti
Samia Tassam
Gemaluddin Maani
Adam Deriyeh
Khalid Delim
Ahmed Jerhoom
Noor Al-haqq
Hassanin Baghdadi
Marwan Abied
John And
Abdul Samad
Najat Jauni
Saffyan Samoom
Muṣallihu ʿabīd
Abdul Alim
Taha 
Himanshu Salim
Samir Al-ows
Jazam Mohamed
Ahmed Al-oraibi
Madhut Kholan
Ahmed Alafifi
Ramoni Sabih
Ameer Qureshi
Oyebi Akhtar
Abdul Alim
Atef Seifi
Jafar Famous
Zayed Shamran
Saifuddin Bin
Amar Maraziq
Jasim Jazarr
Ahmad Sidani


john Smith
Ahmad Saifi
Hajjaj Ibn
President Rouhani:
Abdul Razzaq
John Sadian
Ahmed Quraysh
Marz Bin
Ahram Salahuddin
Nassiba El-khalil
Ahkim Baqum
Thursday Bin
David Daqui
Fahd Adel
Mahmoud Sommera
John Kandaf
Ameer Afghan
Muhammad Ibn
Rajeh Al-iraqi
Kafur Bin
Ahmed Hussaini
Nasir Sharif
Samar Anmar
Hani Alafeefi
Sadiq Beitarr
Mazin Neshashi
Ben Wail
Abdul Ghani
Ahmed Najar
Mohammed Sharif
Hassanin Desi
Ahmad Ibn
Farouk Hashid
Khelan Jassur
Jalil Bin
Ahmed Alkathiri
Ahmed Al-baghdadi
Abdul Faghani
Malik Bin
Abdul Hafiz
Thomas Smith
Ahmed Al-hilwani
Omar Qalibou
Jazam Al-din
Saad Khathim
Salim Alakaf
Ahmed Bouaziz
Muslim Khazrji
Abdulaziz Organi
Marzouq Al-samman
Mohammed Al-khatib
Fakhr Al-shami
Haniem Khazrj
Adam Lam
Gafar Jaffar
Ahmad Al-kazraji
Mursi Bin
Ahmed Tarabain
Mohammed Maqel
Ahmed Murad
Abdul Qadous
Ahmed Aljawadi
Mays Abdel
Akawi Abdulwahid
Faris Najar
Ahmed Badri
Abdulaziz Amioni
Marzhar Ghoghany
Solomon Kham
Jamaluddin Awaidah
Fahd Al-waeri
Akawai Aroof
Abdulahi 
Abdullah Alnemri
Omar Bin
Sadiq Taqsh
Mohammed Bashiti
Abdul Hafiz
Hammoud Boumedienne
Ahmed Alafifi
Saad Aamer
Madhut Kholan
Fozi Adeli
Harith Al-ayyubi
Thursday Armani
John Aser
Ahmed Al-dajani
Mohammed Aljameh
Jafar Al-hajar
Ahmed Al-shami
Khadir Saidawi
Abdul Hafeez
Hussain Al-hafiz
Faruq Bin
Rabiaa Hayyan
Kajal Agarwal
Namir Khan
Zain Bin
Abdul Rahman
Jamaluddin Sulayman
Nadiya Deen
Maramzar Zarqan
Kamran Khalan
Kenzu Farid
Shamaran 
Adam Emony
Houdoud Khalan
Abdullah Al-futayani
Mohammed Abdel
Ahmad Al-khatib
First Name:
Himani Alawalik
Muhammad Ibn
Ahmed Taya
Kasr Al-qurjuli
Ahmed Alafifi
Abdul Hafiz
Yaania Zraqqan
Munzar Al-moussawi
Fayef Aljawawi
Ahmed Nasseeba
Hameed Al-ansari
Saud Mohajjed
Ambassador Maatouq
Abdul Jabbar
Abdul Qawasim
Khalid Bin
Adam Assad
Mohammed Khazaei
Omar Zahika
Kholan Sharagb
Adel Wahba
Abu Ayd
Munzir Al-qai
Hisham Al-bashiti
Ahmed Kababish
Ziha Taghsh
Abdul Malik
Sahar Asir
Benozed 
Mohammed Shabanani
John Coastline
Zahra Ben
Saad Bin
Saheeb Adwan
Mohammed Alkalashi
Hazhedi Al-halwani
John Carpenter
Ahid Rajih
Zaid Bin
Ahmaduddin Sarandh
Nasir Bdairi
Sebor Saidani
Jadis Saad
Faris Bin
Thursday Al-mofty
Afghani Aziz
Kholan Mashar
Tom Goode
Saeib Anmar
Sabri Al-qurjuli
Az-din Harb
Jazam Majid
President Jebsha:
Nasr Murad
Ahmed Jabili
Hala Al-qubani
Samir Al-namari
Hajazi Farah
Murtuqal Bakr
Naim Hamir
Oman Shamar
Talaal Seyam
Kareem Abdul
Abdul Saud
Hazem Al-dosouqi
John And
Abdul Latif
John Beatty
Ahmad Ibn
Hamiyr Alghazwan
Zahran First
Tamir Sorrowy


john Smith
Abdulrahman Al-bukhari
Ahmad Badiri
Mishfaq Abdulqais
Salim Ziyadane
English First
Rabia Improvement
Qasim Din
Mohammed Al-fayyadh
Ben Sakhran
Zayd Benoaziz
Ahmaduddin Bahlul
Aamir Sasaah


john Smith
Kerim El
Wael Benazza
Ahmed Al-khalafawi
Mohammed Hijaz
 
Yassir Ibn
Majdi Bin
Mazen Al-hedmi
Abdulrahman Baysar
Najmuddin 
Shakib Bin
Majed Alafi
Mohammed Maradi
Mehdi Alalaam
Jalal Al-shaykh
Zahlawi Farah
Abdulaziz Muzahj
Shabli Al-namir
Malik Badi
Abdul Latif


john Smith
Ahmad Al-bashiti
Ramadan Amione
Tungji Kafurge
Najee Al-sharif
Hafez Hamir
Samira Said
Abdul Shakur
Ramadan Al-hukam
Salim Afghan
Ahmed Nameri
Mohammed Yacoub
Al-attiyah Al-jumayni
Hazdi Abied
Hamiyya Haqqi
Abu Saud
Himawan Bin
Mahdi Zahlawi
John Red
Zubair Maqar
Zayd Bin
Noukhald Khalid
Abdul Salam
Abdulrazaq Bitroni
Khadija Khazaei
Raed Shmaran
Omar Doubellal
Mahdi Bin
John Beiruti
Shahdad Khelan
Farhan Birqdar
Abdul Wahid
Amr Nahd
Hassan Batar
Mohammed Biny
Muna Al-maraziq
John Barber
Murtada Amila
Ahmed Awaida
Yazan Beiruti
Mariyan Sharif
Good Morning,
David Mamluk
David Al-qai
Sadaf Tsamir
Khaled Qalibou
Sammy Anas
Abdul Sami
Haniya Hanif
Hazhiran Aramuni
Kasande Akawi
English First
Sadawy Saadawi
Amiran Kaloti
Thankyou Carpenter:
Abdul Malik
Majed Shamie
Salim Al-rafeeq
Nabil Al-hawash
Hassan Aljawai
Abdul-jabbar Al-jaouni
Abdulghanee Kays
Mukhtar Zahlawi
Abdulrahman Bin
Samuel Shuhuoh
Azmi Shumran
Abdul Rashid
Nasir Al-asali
Hesam Al-qawasem
Kamal Nasri
Ahmed Shwefi
Ahmed Al-tarmoum
Ahmad Al-ansari
Abdul Qadir
Ahmed Al-kulghasi
Ahram English
Zahra Khazraji
Safyan Jazam
Abdul Razzaq
Ahmad Bin
Hilmi Bediria
Muhammad Ibn
Abdulrahman Asir
Ahmed Ayyoubi
Zayed Khandaf
Zahran Khalid
Samir Al-awlaqi
Abdulrahman Kallughasi
Sultan Amir
Ben Sakhr
Maammar Sahloul
Faleh Jadis
Saad Bin
Shafeeq Nameri
Fars Mashasha
Ahmed Awaidah
Mashari Bihmuduny
Ahmet Istanbul
Ahmed Al-jawwani
Istanbul Kanaan
Hassan Kahlan
Matar Al-tayyar
Zahra Zarrin
Hussain Ali
Khalid Kamal
Ahmed Al-ansari
Abdul Jabbar
Tom Zephyr
Salam Bin
Iyad Sahwan
English First
Ali Bin
Mohammed Boudine
Abdul-illah Kholan
John Gibson
Mohammed Bin
Himawan Harab
English First
Ziz Talaab
Abdulrahman Bakr
Khaliluddin Khazaei
Khalid Bin
Mohiyuddin Azad
Abdul-ilah Bin
Ghaniym Abdood
Azhar Anza
Oman Tsam
Az-din Baqoom
Mansi Qadmani
Ahmad Duri
Sultan Atiba
Hammad Bin
Khaled Taqish
Abdulrahman Kandah
Muataz Maraziq
Abdul Rashid
Mohammad Rajih
Muataz Al-ghawanmeh
Fakhri Al-waeri
Jalaluddin Manny
Shibly Akleb
Faris Bin
Khalid Al-bashiti
Hisham Almuntafaq
Timothy Adwan
Asma Zabia
Abdullah Al-najjar
Zayed Hael
Sadik Daqqaq
Mahmoud Kalouti
Abdulaziz Al-kanani
Tooteh Irani
Ahmed Badri
Ahmad Al-shaibani
Abu Bakr
Fayyaz Abu
Malek Benoman
Kenz And
Jafar Haile
Ahmed Afifi
Abdulrahman Najm
 English
Ahmad Najeeb
Faraj Sardinha
Essam Al-maam
Abdulrahim Bin


john Smith
Yahya Jabili
Ahkim Al-maghribi
Faris Tayy
Abdul Tawwab
Tahir Boumedienne
Abdul Hafiz
Firhan Taziz
Ahmed Bouaziz
Mahaar Jadise
Nawwaf Al
Abdul Hafeez
Hussain Al-muhaid
Tripoli 
Abdul Wahid
Abdul Sami
Thankyou Carpenter:
Moustafa Jheina
Moses Al-kulghasi
Mukarram Aliyyan
Zubair Azra
Marammar Hidemi
Saad Alawazem
Omar Benazzi
Ahmed Abdul
Tahir Bin
Gatfi Ghamd
Manaf Bin
Abdul Moula
Abdulmalik Ould
Abdul Majid
Abdul Baqi
Mansour Wahaab


john Smith
Kanaya Ahmed
Zuhayr Al-zurqan
Abdul Rauf
Abdullah Al-dajani
Fakhruddin Zumurrata
Ghamid Saram
Zahra Adel
Mubarak Al-baqum
Mandeem Jazarr
Salim Bin
Mahaar Alhulqa
Zahir Bakr
Hassam Shanran
Mohammed Kawahela
Ahmed Bin
Sumera 
Abdul-qais 
Ahmad Saifi
Noura Qureshi
Hassib Khazaa
John Sweetman
Hanifa Ben
Faleh Shmaran
Ammar Bahmudoni
Mohammed Moroka
Hussein Saman
Mushfiq Suhail
Abdul Latif
Ahmed Thaqif
Ahmed Al-musawwis
Kunz Ben
Ahmed Al-dosoki
Ahmed Zulaitimo
Fouad Khandf
Hammad Biny
Aneem Balqarn
Abbas Bin
Din Ganim
Marthi Binu
Abdulrazaq Rabatab
Noor Al
Michael Barber
Hanifa Benazir
Khalid Al-hawash
Abdulqais Khadr
Zafar Al-kulghasi
Hafiz Shawaish
Hassan Harb
Ahmad Aljawwi
Mahmoud Al-imam
Salem Alayoubi
Marammar Alawalq
Abdul Wahid
Maniif Jazini
Kanafadi Kanata
Ahmed Zaghir
Jalaluddin Jabesh
Zakria Hindi
Ahmed Aser
Karam Zahlawi
Abdul Sami
Murdad Saman
Ahmed Qabani
Mohammed Qahtan
Ahmed Al-azizi
John Carpenter
Munir Yaafu
Ahmad Badri
Naser Bin
Moustafa Najib
Munzar Ajrama
Taham Taghanem
Khalid Al-hathil
Az-din Al-ajman
John Barber
Mohammed Ardhi
Lammar Binu
Beno Shuhr
Tutuhe Ambassador
Maghdad Ghamd
Fakhruddin Afifi
William Pitt
Ahmed Hafan
Mohammed Yusufzai
Najib Alazizi
Reda Ibn
Essam Khalidi
Beno Yala
Abdulaziz Akawi
Abdul Qadir
English First
Ben Wail
Abdul Bari
Malik Bin
Zahir Kalyebo
Salem Al-suhail
Daghe Din
Kanan Waari
Mohatab Al-sahli
Fawalhum Sumera
Mohiyeddin Arnaut
Masad Ghattafan
Habta Qataz
Mussab Aljawai
Hafiz Hindi
Mujahed Ihmeiman
Taha Khan
Sammy Mzina
Kamal Salim
Abdul Khaliq
Samran And
Abdulaziz Bin
Dr Rauwons
Khalilullah Al-mansur
Murtada Tahan
Samuel Qadmani
Ahmed Neshashibi
Hussain Al-nasam
Adam Assad
Mohammed Amela
Dobleal Rawa
Faisal Saifi
Hisham Al-qalamoni
Abdullah Bin
Nou Shiban
Jassim Al-qurjuli
Ahmed Murteji
Thank You,
Marwan Al-qutb
Najib Qanat
Hala Al
Omar Belghazoui
 
Mohammed Al-qatabi
Wael Benazza
Fouad Alqazaz
Mohiyuddin Najib
Ibrahim Eid
Iyad Al-qayin
Faruq Khotham
Khaladon Ghamd
Shaib Bin
John Red
Hazail Al-baqoum
Manaaf Ben
Hussein Tammim
Salim Al
Munas Bin
Rabiaa Return
Dalim Alimoun
Nafan Kanda
Abdul Moula
Abdul Hafiz
Beno Zaid
Abu Bakr
Benouar Ben
Adi Ben
Saqr Juhaynah
Sulaiman Al-jaaliin
Zubayr Bin
Saddam Samm
John Carpenter
Majed Bakr
Abdul-qahhar Al-uqaydi
Max Otto
Fouad Kanan
Abdulrahman Jaliyin
John Terabine
Mohammed Azra
Mohsen Alkulghaasi
Hisham Daqaq
John Carpenter
Hossein Hashmi
Kanan Al-kulghasi
Abdul Rashid
Tamim Alkhairi
Abdul-ilah Al-mofti
Abdul Shukoor
Zahra Karam
Ahmad Al-khamis
Maammar Tootingi
Imam Profit
Murtaja Khattab
Shibli Bin
Samah And
Joseph Shawesh
Ammar Alzd
Jamal Ans
Khadidoun Kanana
Shadi Shawafati
Muhammad Nadil
Hafalah Qatina
Ahmed Jabsheh
Armani Sharif
Jazam Al-mufriq
Mohammed Sharif
Ahmad Ibn
Abdulaziz Bashiti
Ahmed Almaraziq
Thank You
Ahram Maher
Manzar Ali
Moses Supervision
Taha Improvement
Ahkam Bin
Hazaki Jadis
Lamibeybi Binu
Mohammed Hajazi
Ahmed Al-sharif
Rima Beiruti
Ahmed Shihabi
Zahra Al-waeri
Zebar Habram
Ali Al-murtada
Himman Bin
Abdul Qahhar
Faris Qamran
Wael Bin
Zizi Malik
Samah Al-maraziq
Adnan 
First Name:
Samir Saifi
Yahima Hadad
Omar Ibn
Moses Tahan
Bakr Bin
Ahmed Aljawoni
Mohammed Zahid
Marwan Amir
First Name:
Ahmed Al-kanani
Khalil Bin


john Smith
Himawan Bahl
Abdulrahman Zargan
Hindi Khan
John Ajel
Sam Desi
Anas Al-tofi
Arabo Kalyibo
David Davis


john Smith
Khalil Tammim
Mohammed Asir


john Smith
Abu Ubaydah
Najib Azab
Al-din Ibn
Ahmed Kannani
Ahmad Al-qalmuni
Abdul Sam
Ben Ajel
Munir Al-beetar
Ahmed Asali
Jalaluddin Jazār
Abdulrahman Bin
Tamir Bakr
Sandy Dobell
Omar Al-aref
Mohammed Al-muthanna
Salim Amioni
Thursday Al-mutawalli
Abdul Ghafoor
Rabia Smith
Abdul Alim
Jassur Bin
Abdulmohi Anza
Thursday Bedirye
Ahmed Desai
Sultan Jaafar
Saddam Hussein
Istanbul Governor:
Aneim Bahamudonni
Mohammed Al-arriyaj
Ahmed Deen
Hemran Montifq
Mahmoud Badriya
Ahmed Al-baghdadi
Hello, John
Baderiya Farah
Khalidi Saqam
Hilal Alkalb
Omar Zufir
Miraafab Mir
Khalid Jazam
 
Mohamed Haziel
Tamir Byni
Hassan Qadmani
Abdul Hayy
Mohammed Yusufbashi
Mohammed Al-khashab
Haniya And
Farzad Bolgharne
Salih Salim
Zaidan Al-awazim
Munzar Bin
Wael Bakheim
Hazam Bin
Fawwaz Sarouri


john Smith
Abdulrahman Alkanani
Essam Murkah
Abdul Rashid
Najm Sabri
Abdulaziz Bin
Faruq Jahina
Timothy Gurgul
Saad Al-hakam
Rashid Bensaarom
Hameesah Amir
Hesam Zebid
Zahiqa Rafa
Adnan Adwan
Saad Bin
Leah Johnson
Peter Shahr
Abdul Hajj
John Mahrra
Mufawwaz Bani
Abdul Sami
Thursday Bin
Tariq Abdulqais
Mirfazal 
Ahmed Qurish
Iyad Motawea
Shafaa Joudah
Ghadid Gammad
Abdullah Jazam
Aziz Bin
Sadqi Sharif
Abdul Mohiyy
Ahmad Dajani
Zayed Al-baitar
Solomon Khalafawi
Ahmed Khundaf
Abdul Jabbar
Ghadri Gammed
Ahmad Al-qalami
Iyad Alghaben
Abdulqais 
Azahra Smith
Zidan Benotifan
Zahran 
Majed Al-jabha
Abdul Karim
Jalal Tinokh
Nader Kanda
Othman Neshashibi
Ansam Anam
Ahmed Al-najjar
Fakhruddin Jahinah
Saad Al-ikhwan
Samuel Shaw
Mohammadan Ehyeman
Bazalah Baderia
Munir Al-muzaffar
Ahmed Bouaziz
Abdulqais 
Ahmad Saman
Jacob Zahran
Thank You,
Oman Shawish
Tahir Nahid
Hello Coastline,
Ahmed Bin
Hazem Al-qarawi
English First
Thank You,


john Smith
Ahmed Ashjae
Shafaa Bin
Khalid Bin
Aseel Alazzaide
Zayan First
Ahmed Alkaseeri
Abdul Hakim
Hafez Alian
Kifayat Kannan
Jafar Farahid
Muhammad Ibn
Mohiyuddin Anz
Tom Canada
Khalid Aljaouni
Abdullah Al-baqum
Samir Al-hilal
John Yuzbashy
Calvin Smith
Murtaza Jahram
Mataaz Berqdar
Fahid Al-sulaiman
Ahmad Almutairi
Yahya Al-shuhuoh
Ahmad Bin
Ahmed Maraziq
Shaamkh Ibn
Mansour Shihabi
Ahmed Zahlawi
Mohammed Al-din
English First
Abdul Khaliq
Badi Mubarak
Abdul Alim
Nasseruddin Iyad
First Name:
Saad Bakr
Bano Yas
Rajih Zaidan
Caleb Kamal
Hodhod Nahid
Adnan Adel
Zahra Ghaezan
Tufayel Doubleall
Abdul Hafeez
Mohsen Mazinah
Saeb Dajani
Sadik Hadad
Mohammed Almulook
Moustafa Awaid
Tim Gibelli
Najib 
Maryam Alafifi
Ahmed Al-qazzaz
Ziyad Shatia
Abdulqahar Amir
Abdullah Bin
Taqsh Jalaa
Yusuf Dobhal
Adwan Hafran
Nassir Rabiea
Tamer Ghanim
John Carpenter
Faraheed Mohammed
Ahmed Badriya
Mukram Zufeer
Miraafab 
Maghan Khelan
Abdul Shakoor
Farzad Hamedan
Sultan Tripoli
Aziza Onza
Jalil Thaqif
Jasem Yusuf
Abdul Karim
Abdul Majeed
Abdul Shakur
Abdul Quddus
Mohamed Shwefati
Ahmad Hamidah
Lamis Beno
Saeed Mzraani
Mohammed Saafi
Mohammed El-khattabi
